episode/Average_return,episode/Entropy,episode/Policy_loss,episode/Reward,episode/Value_loss,epoch,step
-105.60604095458984,,,,,0,39
,2.36555552482605,85.7656478881836,-93.75,95.52154541015625,1,49
,2.3182547092437744,80.54198455810547,-93.75,83.87522888183594,2,99
,2.378174066543579,48.8022575378418,-87.5,63.17559051513672,3,149
,2.2353711128234863,18.768875122070312,-100.0,16.541364669799805,4,199
,1.8445062637329102,-13.28250503540039,-87.5,12.531426429748535,6,249
,1.609691858291626,-9.528951644897461,-90.625,9.370384216308594,7,299
,1.2231404781341553,-10.627687454223633,-90.625,9.351879119873047,8,349
,0.955070972442627,0.17131659388542175,-100.0,0.010196920484304428,9,399
-269.3261413574219,,,,,10,439
,0.5893214344978333,-29.865215301513672,-71.875,28.05022430419922,11,449
,0.38155364990234375,-67.99726867675781,-31.25,68.4903793334961,12,499
,0.17392659187316895,-59.70142364501953,-34.375,65.38420104980469,13,549
,0.007924556732177734,-127.73788452148438,50.0,141.45574951171875,14,599
,-0.2847778797149658,-121.58470153808594,59.375,139.50730895996094,16,649
,-0.4206881523132324,-84.51018524169922,50.0,115.3475341796875,17,699
,-0.42915207147598267,-78.99287414550781,68.75,107.31529998779297,18,749
,-0.45834672451019287,-62.08647918701172,50.0,100.62326049804688,19,799
-396.8652038574219,,,,,20,839
,-0.7623023986816406,-77.27462768554688,78.125,99.4372329711914,21,849
,-0.9649925231933594,-88.68377685546875,100.0,98.84027862548828,22,899
,-1.241757869720459,-96.69343566894531,100.0,97.2564697265625,23,949
,-1.2000926733016968,-91.04998016357422,100.0,94.1170654296875,24,999
,-1.4257879257202148,-86.75086212158203,100.0,88.89185333251953,26,1049
,-1.6873579025268555,-82.85675811767578,100.0,81.05374145507812,27,1099
,-1.6487396955490112,-38.91004180908203,75.0,77.4328842163086,28,1149
,-1.908972144126892,-55.47520446777344,100.0,55.29325866699219,29,1199
-192.60671997070312,,,,,30,1239
,-2.043208122253418,-35.049072265625,100.0,35.78025436401367,31,1249
,-2.139596939086914,2.7288098335266113,87.5,22.090391159057617,32,1299
,-1.2039982080459595,19.886585235595703,87.5,12.467808723449707,33,1349
,-0.48551130294799805,69.80903625488281,0.0,99.63516235351562,34,1399
,-0.12868106365203857,36.885562896728516,59.375,40.507530212402344,36,1449
,0.05110872909426689,125.29632568359375,-31.25,127.32215118408203,37,1499
,0.15362393856048584,101.7430191040039,-40.625,126.21366119384766,38,1549
,0.050156593322753906,48.32411193847656,0.0,99.5,39,1599
-226.1221466064453,,,,,40,1639
,0.04125475883483887,40.549842834472656,15.625,90.45962524414062,41,1649
,-0.05953037738800049,45.07818603515625,31.25,75.11686706542969,42,1699
,-0.05577421188354492,50.869834899902344,50.0,49.90288162231445,43,1749
,0.11972403526306152,51.64380645751953,50.0,50.747337341308594,44,1799
,0.12490367889404297,66.47520446777344,31.25,68.53343200683594,46,1849
,0.1380302906036377,110.27823638916016,-15.625,115.12744140625,47,1899
,0.0601963996887207,88.44384002685547,6.25,93.32914733886719,48,1949
,0.2795904278755188,40.626949310302734,50.0,49.83858871459961,49,1999
-185.12449645996094,,,,,50,2039
,0.15446507930755615,31.45332145690918,68.75,31.170827865600586,51,2049
,0.8335951566696167,161.0336456298828,-53.125,146.81967163085938,52,2099
,0.7062545418739319,102.78204345703125,-40.625,125.49434661865234,53,2149
,0.6933424472808838,144.31015014648438,-100.0,144.11465454101562,54,2199
,0.5467248558998108,73.42057037353516,-43.75,112.451904296875,56,2249
,0.44272589683532715,42.7836799621582,-25.0,104.309814453125,57,2299
,0.26647627353668213,18.963401794433594,-3.125,99.99007415771484,58,2349
,0.2012702226638794,67.02363586425781,-50.0,108.77913665771484,59,2399
-333.349365234375,,,,,60,2439
,0.2503530979156494,42.53606033325195,-15.625,103.65202331542969,61,2449
,0.060890793800354004,-41.60395050048828,71.875,77.56666564941406,62,2499
,-0.0019953250885009766,10.511823654174805,37.5,82.3828125,63,2549
,-0.015960216522216797,63.25173568725586,0.0,99.5,64,2599
,-0.04139232635498047,37.610382080078125,53.125,51.902400970458984,66,2649
,-0.0051239728927612305,63.86723709106445,37.5,62.314231872558594,67,2699
,0.3576120138168335,53.1971549987793,71.875,28.04683494567871,68,2749
,0.18149101734161377,87.10906982421875,0.0,99.5,69,2799
-94.06014251708984,,,,,70,2839
,0.054733991622924805,81.18844604492188,18.75,80.90815734863281,71,2849
,0.18380796909332275,19.51326560974121,78.125,22.019596099853516,72,2899
,0.3691399097442627,94.17893981933594,-9.375,107.71155548095703,73,2949
,0.37809479236602783,20.84931182861328,50.0,64.06780242919922,74,2999
,0.5841364860534668,84.56973266601562,15.625,84.37739562988281,76,3049
,0.6451246738433838,116.94978332519531,-34.375,129.59022521972656,77,3099
,0.6902986168861389,90.89500427246094,-28.125,117.52547454833984,78,3149
,0.9693012833595276,128.33607482910156,-100.0,144.54672241210938,79,3199
-96.68383026123047,,,,,80,3239
,1.020373821258545,87.80695343017578,-59.375,117.28456115722656,81,3249
,1.063916563987732,81.89373016357422,-62.5,111.23384857177734,82,3299
,1.0086013078689575,89.78335571289062,-75.0,107.69891357421875,83,3349
,0.8679459691047668,47.473297119140625,-50.0,102.284912109375,84,3399
,0.5977818369865417,20.204601287841797,-18.75,99.93844604492188,86,3449
,0.4310862720012665,23.98674774169922,-18.75,99.63318634033203,87,3499
,0.39117467403411865,-24.267295837402344,21.875,99.39543151855469,88,3549
,0.239912748336792,-52.19826889038086,50.0,99.29159545898438,89,3599
-112.65601348876953,,,,,90,3639
